2022-08-02 10:21:14,895 {'Time': '2022-08-02T10:20:07.83005730Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '107.108.211.142', 'P_src': '80', 'P_dst': '396', 'event': 'Dos'}
2022-08-02 10:21:14,896 {'Time': '2022-08-02T10:20:07.82975965Z', 'Protocol': 'TCP', 'Source': '43.55.243.98', 'Destination': '192.168.137.247', 'P_src': '397', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:14,897 {'Time': '2022-08-02T10:20:07.83011203Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '43.55.243.98', 'P_src': '80', 'P_dst': '397', 'event': 'Dos'}
2022-08-02 10:21:14,898 {'Time': '2022-08-02T10:20:07.82976007Z', 'Protocol': 'TCP', 'Source': '145.64.192.77', 'Destination': '192.168.137.247', 'P_src': '398', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:14,899 {'Time': '2022-08-02T10:20:07.83016667Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '145.64.192.77', 'P_src': '80', 'P_dst': '398', 'event': 'Dos'}
2022-08-02 10:21:18,183 {'Time': '2022-08-02T10:20:07.650037743Z', 'Protocol': 'TCP', 'Source': '249.131.255.109', 'Destination': '192.168.137.247', 'P_src': '8457', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:19,286 {'Time': '2022-08-02T10:20:08.86439475Z', 'Protocol': 'TCP', 'Source': '34.162.200.226', 'Destination': '192.168.137.247', 'P_src': '10129', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:19,287 {'Time': '2022-08-02T10:20:08.86461690Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '34.162.200.226', 'P_src': '80', 'P_dst': '10129', 'event': 'Dos'}
2022-08-02 10:21:19,288 {'Time': '2022-08-02T10:20:08.86439603Z', 'Protocol': 'TCP', 'Source': '244.123.157.36', 'Destination': '192.168.137.247', 'P_src': '10130', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:19,289 {'Time': '2022-08-02T10:20:08.86485564Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '244.123.157.36', 'P_src': '80', 'P_dst': '10130', 'event': 'Dos'}
2022-08-02 10:21:20,732 {'Time': '2022-08-02T10:20:08.586249127Z', 'Protocol': 'TCP', 'Source': '99.50.85.114', 'Destination': '192.168.137.247', 'P_src': '13387', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:20,733 {'Time': '2022-08-02T10:20:08.586277285Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '99.50.85.114', 'P_src': '80', 'P_dst': '13387', 'event': 'Dos'}
2022-08-02 10:21:21,357 {'Time': '2022-08-02T10:20:09.83002055Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '160.33.226.254', 'P_src': '80', 'P_dst': '15029', 'event': 'Dos'}
2022-08-02 10:21:21,358 {'Time': '2022-08-02T10:20:09.82950684Z', 'Protocol': 'TCP', 'Source': '254.11.59.166', 'Destination': '192.168.137.247', 'P_src': '15030', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:21,360 {'Time': '2022-08-02T10:20:09.83007960Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '254.11.59.166', 'P_src': '80', 'P_dst': '15030', 'event': 'Dos'}
2022-08-02 10:21:21,361 {'Time': '2022-08-02T10:20:09.82950735Z', 'Protocol': 'TCP', 'Source': '183.132.31.27', 'Destination': '192.168.137.247', 'P_src': '15031', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:21,362 {'Time': '2022-08-02T10:20:09.83013521Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '183.132.31.27', 'P_src': '80', 'P_dst': '15031', 'event': 'Dos'}
2022-08-02 10:21:31,403 {'Time': '2022-08-02T10:20:10.595378570Z', 'Protocol': 'TCP', 'Source': '148.132.170.244', 'Destination': '192.168.137.247', 'P_src': '46436', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:31,405 {'Time': '2022-08-02T10:20:10.595427966Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '148.132.170.244', 'P_src': '80', 'P_dst': '46436', 'event': 'Dos'}
2022-08-02 10:21:33,388 {'Time': '2022-08-02T10:20:11.86928014Z', 'Protocol': 'TCP', 'Source': '146.31.129.132', 'Destination': '192.168.137.247', 'P_src': '50492', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:33,389 {'Time': '2022-08-02T10:20:11.86950780Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '146.31.129.132', 'P_src': '80', 'P_dst': '50492', 'event': 'Dos'}
2022-08-02 10:21:33,390 {'Time': '2022-08-02T10:20:11.86928224Z', 'Protocol': 'TCP', 'Source': '139.226.196.0', 'Destination': '192.168.137.247', 'P_src': '50493', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:38,790 {'Time': '2022-08-02T10:20:12.83545796Z', 'Protocol': 'TCP', 'Source': '117.209.194.217', 'Destination': '192.168.137.247', 'P_src': '10723', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:21:44,614 {'Time': '2022-08-02T10:20:13.122778630Z', 'Protocol': 'TCP', 'Source': '216.211.157.200', 'Destination': '192.168.137.247', 'P_src': '37925', 'P_dst': '80', 'event': 'Dos'}
